num,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002957.SZ,20191120,32.7,34.12,32.13,32.25,32.1,0.15,0.4673,87129.55,287665.436
1,002957.SZ,20191119,31.15,32.45,31.13,32.1,31.46,0.64,2.0343,58143.23,184967.677
2,002957.SZ,20191118,30.68,32.25,30.01,31.46,30.77,0.69,2.2424,52657.08,163794.716
3,002957.SZ,20191115,33.0,33.46,30.6,30.77,31.99,-1.22,-3.8137,86081.89,276137.789
4,002957.SZ,20191114,29.47,31.99,29.3,31.99,29.08,2.91,10.0069,57360.8,177084.16
5,002957.SZ,20191113,29.0,29.28,28.6,29.08,29.17,-0.09,-0.3085,27266.5,78954.124
6,002957.SZ,20191112,28.73,29.2,28.33,29.17,28.25,0.92,3.2566,29168.86,83956.266
7,002957.SZ,20191111,29.3,29.7,28.13,28.25,29.72,-1.47,-4.9462,28153.13,80331.444
8,002957.SZ,20191108,29.89,30.39,29.71,29.72,29.4,0.32,1.0884,28196.3,84650.854
9,002957.SZ,20191107,29.22,29.58,29.05,29.4,29.18,0.22,0.7539,20919.77,61387.961
10,002957.SZ,20191106,30.46,30.56,29.0,29.18,30.4,-1.22,-4.0132,35696.67,105661.256
11,002957.SZ,20191105,30.26,30.59,30.2,30.4,30.23,0.17,0.5624,19067.12,57969.671
12,002957.SZ,20191104,30.3,30.87,30.2,30.23,30.37,-0.14,-0.461,20813.68,63436.782
13,002957.SZ,20191101,29.96,30.69,29.96,30.37,30.16,0.21,0.6963,25079.11,76298.178
14,002957.SZ,20191031,31.86,32.28,30.12,30.16,31.86,-1.7,-5.3358,45363.9,140429.046
15,002957.SZ,20191030,32.95,32.95,31.4,31.86,33.15,-1.29,-3.8914,36430.18,116774.046
16,002957.SZ,20191029,34.7,34.99,33.15,33.15,34.99,-1.84,-5.2586,45633.27,154857.216
17,002957.SZ,20191028,34.15,35.23,33.96,34.99,34.19,0.8,2.3399,35810.11,124295.28
18,002957.SZ,20191025,33.85,34.5,33.56,34.19,34.15,0.04,0.1171,26764.56,91156.853
19,002957.SZ,20191024,34.49,34.98,34.03,34.15,34.94,-0.79,-2.261,26369.36,90977.757
20,002957.SZ,20191023,34.32,35.7,33.7,34.94,34.95,-0.01,-0.0286,46565.34,161412.622
21,002957.SZ,20191022,34.11,34.97,34.11,34.95,34.26,0.69,2.014,24707.14,85416.832
22,002957.SZ,20191021,36.18,36.18,33.08,34.26,36.2,-1.94,-5.3591,45514.5,155808.244
23,002957.SZ,20191018,36.39,37.07,35.88,36.2,36.28,-0.08,-0.2205,31834.09,116088.306
